OPERACIàN VOLROD AVALéOS 2025;;;;;;2024;;2025;;Financiero;;
Estado;Departamento;Municipio;Kms;Tipo Ubicaci¢n;Tipo de RH;Tarifa a Cliente;Costo RH Destajo;Tarifa a Cliente;Costo RH Destajo;Margen;Aumento 2025;
Activo;Cundinamarca;Bojac ;27; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;4%;Capital
Activo;Cundinamarca;Cajic ;14;Cercano;Dedicado;$ 90.000;$ 63.000;$ 99.000;$ 66.700;33%;10%;Fuera de Capital
Activo;Cundinamarca;C queza;26; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;6%;Consultor Destajo
Activo;Cundinamarca;Ch¡a;8;Principal;Dedicado;$ 80.000;$ 48.000;$ 88.000;$ 50.800;42%;;
Activo;Cundinamarca;Chipaque;11;Cercano;Dedicado;$ 83.000;$ 58.100;$ 91.300;$ 61.500;33%;;
Activo;Cundinamarca;Cota;14;Cercano;Dedicado;$ 75.000;$ 45.000;$ 82.500;$ 47.700;42%;;
Activo;Cundinamarca;El Rosal;23;Cercano;Dedicado;$ 96.000;$ 67.200;$ 105.600;$ 71.200;33%;;
Activo;Cundinamarca;Facatativ ;35; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Activo;Cundinamarca;F¢meque;50; Secundario;Dedicado;$ 107.000;$ 85.600;$ 117.700;$ 90.700;23%;;
Activo;Cundinamarca;Fosca;45; Secundario;Dedicado;$ 119.000;$ 95.200;$ 130.900;$ 100.900;23%;;
Activo;Cundinamarca;Funza;13;Cercano;Dedicado;$ 79.000;$ 47.400;$ 86.900;$ 50.200;42%;;
Activo;Cundinamarca;Guasca;43; Secundario;Dedicado;$ 123.000;$ 98.400;$ 135.300;$ 104.300;23%;;
Activo;Cundinamarca;Guti‚rrez;50; Secundario;Dedicado;$ 126.000;$ 100.800;$ 138.600;$ 106.800;23%;;
Activo;Cundinamarca;La Calera;10;Principal;Dedicado;$ 83.000;$ 58.100;$ 91.300;$ 61.500;33%;;
Activo;Cundinamarca;La Mesa;70;Terciario;Dedicado;$ 115.000;$ 92.000;$ 126.500;$ 97.500;23%;;
Activo;Cundinamarca;Madrid;21;Cercano;Dedicado;$ 85.000;$ 59.500;$ 93.500;$ 63.000;33%;;
Activo;Cundinamarca;Mosquera;15;Cercano;Dedicado;$ 80.000;$ 48.000;$ 88.000;$ 50.800;42%;;
Activo;Cundinamarca;Nimaima;77;Terciario;Dedicado;$ 130.000;$ 88.000;$ 143.000;$ 93.200;35%;;
Activo;Cundinamarca;Sibat‚;16;Cercano;Dedicado;$ 90.000;$ 63.000;$ 99.000;$ 66.700;33%;;
Activo;Cundinamarca;Sop¢;21;Cercano;Dedicado;$ 94.000;$ 65.800;$ 103.400;$ 69.700;33%;;
Activo;Cundinamarca;Subachoque;30; Secundario;Dedicado;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
Activo;Cundinamarca;Tabio;28; Secundario;Dedicado;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
